Tool__c
AirProbe
BoreGage
Caliper
ChamferGage
CMM
CMS
Conductivity
ConductivityStandards
DepthMicrometer
Electrical
Furnace
GageBlock
InfraredPyrometer
OpticalComparator
PinGageSet
PlainPlug
PressureGauge
RingGage
RoughnessGage
Rule
Scale
SettingDisk
Sphere
SurfacePlate
TapeMeasure
ThermoHygrometer
Thermometer
ThreadPlug
ThreadRing
Time
Torque
