022085G,,0.6,1.2,,,,1.3,-0.3,,-1.2,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022085H,,1.1,1.2,0.3,,,1.5,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022085I,,,,-0.7,-0.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022959A,,,,,,,-0.4,-1.2,,-2.5,-5.6,-4.8,,-6.4,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022959B,,,,,,,-1.7,-2.6,,-3.9,-3.2,-4.5,,-6.6,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025020,,,,,,,,,0.0,,,,,,,,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902A,-2.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902B,-1.9,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902C,-1.9,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902D,,1.1,1.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902E,,0.9,2.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902F,,0.8,1.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902G,,1.8,1.9,,,,2.7,3.1,,3.5,4.1,4.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902H,,1.7,2.0,,,,2.8,3.2,,2.7,3.4,3.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902I,,1.0,1.8,,,,2.7,3.4,,3.0,3.3,4.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902J,,,,-0.6,-0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902K,,1.1,0.9,0.1,,,1.4,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025902L,,,,,,,2.8,2.1,,1.4,2.6,4.2,,4.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0270452I,,-0.1,0.5,,,,2.3,3.7,,3.3,3.8,3.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028336,,,,,,,,,-0.5,,,,,,,,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845A,-1.6,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845B,-1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845C,-1.8,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845D,,0.6,1.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845E,,0.5,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845F,,0.7,1.8,,,,2.8,1.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845G,,,,,,,1.6,2.5,,2.9,-0.6,-0.6,,-0.9,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845H,,0.8,1.9,,,,2.8,1.5,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845I,,,,,,,1.5,2.5,,3.2,0.6,-0.6,,-0.4,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028845J,,,,,,,3.5,2.6,,1.1,-3.0,-5.4,,-6.9,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714A,,1.3,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714B,,1.5,2.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714C,,1.5,1.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714D,-1.7,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714E,-1.6,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714F,-1.7,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714G,,0.5,-0.1,0.3,,,-0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714H,,1.7,2.0,,,,2.7,2.5,,1.5,2.1,2.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714I,,0.8,2.0,,,,2.3,2.8,,2.0,-0.6,0.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714J,,0.6,2.0,,,,2.9,3.0,,2.0,-0.3,-0.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714K,,1.3,2.0,,,,2.6,3.3,,2.2,1.8,0.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714L,,1.3,1.9,,,,2.6,3.2,,2.4,1.9,1.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714M,,1.0,2.0,,,,2.5,2.8,,2.5,1.5,1.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714N,,1.0,2.0,,,,2.7,2.7,,2.1,0.5,0.9,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714O,,1.0,1.9,,,,2.6,2.6,,2.0,0.7,1.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714P,,0.7,2.0,,,,2.7,2.3,,1.2,-0.7,-0.5,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035714Q,,0.8,1.9,,,,2.6,2.3,,1.3,-1.2,-0.3,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276A,,-0.1,-0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276B,-1.9,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276C,-1.9,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276D,-1.9,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276E,,-0.1,-0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276F,,,,-0.5,-0.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276G,,,,-0.5,-0.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276H,,2.0,1.6,1.8,,,1.4,1.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276I,,0.0,-0.2,,,,0.8,-0.1,,-1.4,-2.9,-3.3,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276J,,0.1,-0.2,,,,0.9,-0.6,,-1.5,-3.6,-3.8,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276K,,0.1,-0.1,,,,0.9,-0.7,,-1.4,-2.7,-3.1,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276L,,0.2,0.6,,,,0.8,-0.1,,-1.5,-2.6,-2.5,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276M,,0.2,0.7,,,,1.1,0.0,,-1.4,-2.4,-2.6,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041276N,,0.3,0.8,,,,1.2,0.3,,-1.2,-1.9,-2.3,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046483A,,0.4,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046483B,,0.3,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046483C,,0.3,1.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046483D,-1.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046483E,-1.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046483F,,,,,,,2.8,1.9,,1.0,0.6,-0.3,,-3.8,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046931,,0.2,,,,,,,,,,,,,,,,,,-0.3,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047079,,,,,,,,,,-8.8,,,,,,,,,,,,-9.7,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047176,,,,,-0.6,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047236,,-0.5,,,,,,,,,,,,,,,,,,,,,,,-1.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047344,,1.5,,0.3,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047548,,1.7,,,,,,,,,,,,,,,,,,,,,,,1.1,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047552,,0.1,,0.5,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047643,,,,,-0.9,,,,,,,,,,,,,,,-0.3,,,,0.0,,,,-0.2,-0.2,-0.1,-0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
047655A,-2.0,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047655B,-2.0,0.7,0.9,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047655C,-2.0,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047655D,,0.8,2.0,,,,2.6,1.9,,0.6,-1.8,-2.2,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047655E,,0.8,2.0,,,,2.5,1.9,,0.7,-1.4,-2.4,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047655F,,0.8,2.0,,,,2.7,2.2,,0.9,-1.2,-2.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047655G,,0.8,2.0,,,,2.5,2.1,,0.8,-1.3,-1.8,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,
047715,,0.4,,,,,,,,,,,,,,,,,,0.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047757,,,,,,,,,-0.6,,,,,,,,-0.6,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047772,,,,,,,,,,-6.0,,,,,,,,,,,,-2.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047797,,,,,,,,,,,,,,,,,-0.7,,,,,,,,1.4,,,,,,,,,,0.8,-0.5,,,,,,,,,,,,,,,,,,,,,,
047815,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047840,,-0.5,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047953,,,,,,,,,,-12.6,,,,,,,,,,,,-5.8,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048979,,,,,,0.9,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,1.6,-0.3,,,,,,,,,,,,,,,,,,,,
049205,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,-0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
049319,,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049580,,,,,,1.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
049712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
049727J,,,,,-0.1,-0.3,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,-0.2,-0.4,-0.4,,,,,-0.1,-0.2,1.0,1.1,,,,,,,,,,,,,,,
049727J2,,,,,1.1,1.1,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,1.1,1.2,1.2,,,,,0.1,1.5,2.4,2.5,,,,,,,,,,,,,,,
049727JDual,,,,,0.2,-0.4,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,0.3,-0.1,-0.1,,,,,0.0,-0.6,-0.3,-0.4,,,,,,,,,,,,,,,
049727N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.6,-1.6,-1.9,-2.1,-2.0,,,,,,,,,
049727S,,,,,,,,,0.5,0.4,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,0.6,0.9,1.1,,,,,,
049787A,,1.8,2.0,,,,1.6,1.2,,0.8,-1.7,-2.8,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787B,,1.7,2.0,,,,1.6,1.1,,0.7,-0.7,-2.4,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787C,,1.2,2.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787D,,1.3,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787E,,1.3,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787F,,,,-0.8,-0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787G,,,,-0.9,-0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787H,-1.9,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787I,-1.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787J,-1.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787K,,1.8,1.3,1.6,,,0.6,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787L,,1.9,1.4,2.0,,,0.6,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787M,,1.8,1.4,1.8,,,0.7,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787N,,1.4,1.7,,,,2.4,1.7,,0.5,-1.8,-3.2,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787O,,1.3,1.8,,,,1.8,1.3,,0.9,-0.9,-2.0,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787P,,1.4,1.9,,,,2.0,1.5,,1.3,-0.4,-2.2,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787Q,,1.3,1.8,,,,1.7,1.5,,1.3,-0.9,-2.6,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049787R,,,,,,,1.9,2.8,,2.6,1.7,0.7,,-1.0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049800,,,,,0.1,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,
049821,,,,,1.8,,,,,,,,,,,,,,,,,,,1.9,,,,,1.7,2.0,1.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
049831,,0.5,,-0.1,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,
049851,,,,,-0.5,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,,,,,,,,,,,,,0.2,0.3,,
049961K,,,,,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
050123,,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,-0.2,
050244,,,,,,2.8,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050291,,-1.8,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050442,,,,,,1.8,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
050474K,,1.5,,,,,,,,,,,,,,,,,,1.8,,,,,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050491,,,,,,,,,,,,,,,,,,,,-1.6,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050536J,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,
050726,,0.1,,,,,,,,,,,,,,,,,,-0.4,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,2.7,,,,,3.1,,,,,,,,2.3,2.4,,,,,,1.8
051155,,,,,-0.5,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,,,,,,,,,,,,,,-0.2,,
051221,,0.6,,,,,,,,,,,,,,,,,,0.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.9,0.7,0.5,,,,,,,,,,,
051337,,,,,0.2,,,,,,,,,,,,,,,0.8,,,,0.8,,,,1.2,1.1,0.8,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
051415,,,,,,,,,-0.1,-0.3,,,,,,,-0.1,0.0,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,
054189A,,2.0,2.0,,,,2.1,0.7,,2.2,2.3,1.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054189B,,2.0,2.0,,,,1.9,0.6,,2.1,2.1,0.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054189C,,2.0,2.0,,,,2.2,1.5,,2.0,2.4,0.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054189D,,1.3,1.8,,,,1.9,1.8,,2.0,2.9,2.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054189E,,1.4,2.0,,,,2.1,2.3,,3.0,2.5,1.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
